"POS";"MONTH";"DATE";"POS_CAT";"POS_CHANNEL";"POS_GROUP";"LAST_TR_DATE";"POS_STATUS";"INACTIVITY_DAYS";"LAST_CI_DATE";"LAST_CO_DATE";"CASH_IN_OUT_STATUS";"CASH_IN_CNT";"CASH_IN_AMNT";"CASH_OUT_CNT";"CASH_OUT_AMNT";"BALANCE";"LAST_VISITE_DATE";"LONGITUDE";"LATITUDE";"SITE";"LOCALISATION";"LOCALITE";"MILIEU";"SECTEUR";"ZONE";"DACR";"VISITE";"COMMISSIONS_AMNT";"IMPACT_VISITE";"COMMISSION_PERF"
"6wjMIbzO";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-06-28;"Inactif récent";33;2020-06-28;1970-01-01;"Inactif récent";0;0;0;0;460.5;1970-01-01;2.12033649;13.56213667;"LAZARET NORD FAISCEAU";"Système";"NIAMEY";"Urbain";"Nord 1";"Nord";"Niamey";"Jamais";0;"Jamais visité";"Non"
"6wjMIbzO";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-06-28;"Inactif récent";57;2020-06-28;1970-01-01;"Inactif récent";0;0;0;0;460.5;1970-01-01;2.12033649;13.56213667;"LAZARET NORD FAISCEAU";"Système";"NIAMEY";"Urbain";"Nord 1";"Nord";"Niamey";"Jamais";0;"Jamais visité";"Non"
"67q0UHnh";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-07;"Futur inactif";24;2020-07-07;2020-07-02;"Futur inactif";0;0;0;0;2419.25;1970-01-01;5.28025;14.865528;"TAHOUA UNIVERSITE";"Système";"TAHOUA";"Urbain";"Tahoua 1";"Centre";"Tahoua";"Jamais";2225;"Jamais visité";"Oui"
"67q0UHnh";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-07-07;"Inactif récent";48;2020-07-07;2020-07-02;"Inactif récent";0;0;0;0;2419.25;1970-01-01;5.28025;14.865528;"TAHOUA UNIVERSITE";"Système";"TAHOUA";"Urbain";"Tahoua 1";"Centre";"Tahoua";"Jamais";0;"Jamais visité";"Non"
"7U6G928d";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-23;"Actif";8;2020-07-23;1970-01-01;"Actif";0;0;0;0;6.24;2020-07-26;6.93167608061969;16.7858569511341;"INGALL";"Visites";"INGALL";"Rural";"Ingall";"Sud";"Agadez";"Oui";326;"A maintenu son statut";"Non"
"7U6G928d";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-08-06;"Actif";18;2020-08-06;1970-01-01;"Actif";0;0;0;0;7.74;2020-07-26;6.93167608061969;16.7858569511341;"INGALL";"Visites";"INGALL";"Rural";"Ingall";"Sud";"Agadez";"Non";152;"Non visité";"Non"
"fii0LDj3";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-07;"Futur inactif";24;2020-07-07;2020-07-06;"Futur inactif";0;0;0;0;494.96;1970-01-01;2.08894244;13.53534322;"CLINIQUE PLATEAU";"Système";"NIAMEY";"Urbain";"Petit Marché 5";"Petit Marché";"Niamey";"Jamais";10706;"Jamais visité";"Oui"
"fii0LDj3";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-07-07;"Inactif récent";48;2020-07-07;2020-07-06;"Inactif récent";0;0;0;0;494.96;1970-01-01;2.08894244;13.53534322;"CLINIQUE PLATEAU";"Système";"NIAMEY";"Urbain";"Petit Marché 5";"Petit Marché";"Niamey";"Jamais";0;"Jamais visité";"Non"
"06lRi2yC";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-03-13;"Inactif âgé";140;2020-03-13;1970-01-01;"Inactif âgé";0;0;0;0;71;1970-01-01;8.98083056;13.82438333;"ZINDER JAGUINDI";"Système";"ZINDER";"Urbain";"Zinder 1";"Centre";"Zinder";"Jamais";0;"Jamais visité";"Non"
"06lRi2yC";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-03-13;"Inactif âgé";164;2020-03-13;1970-01-01;"Inactif âgé";0;0;0;0;71;1970-01-01;8.9959251;13.8036989;"ZINDER 801";"Système";"ZINDER";"Urbain";"Zinder 1";"Centre";"Zinder";"Jamais";0;"Jamais visité";"Non"
"CrZVxOQZ";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-30;"Actif";1;2020-07-30;2020-07-24;"Actif";0;0;0;0;4626.25;1970-01-01;7.1081302;13.49763452;"MARADI 601";"Système";"MARADI";"Urbain";"Maradi 2";"Sud";"Maradi";"Jamais";61717;"Jamais visité";"Oui"
"CrZVxOQZ";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-08-06;"Actif";18;2020-08-05;2020-08-06;"Actif";0;0;0;0;103779.53;1970-01-01;7.121;13.51322222;"MARADI ZARIA RELIEF";"Système";"MARADI";"Urbain";"Maradi 4";"Sud";"Maradi";"Jamais";11745;"Jamais visité";"Oui"
"tVkVU9ne";2020-07-01;2020-07-31;"Orange Shop Agent";"ONE";"Orange";2020-03-11;"Inactif âgé";142;2020-03-11;2020-03-10;"Inactif âgé";0;0;0;0;0;1970-01-01;2.09971124;13.53200075;"CALL CENTER NODAL";"Système";"NIAMEY";"Urbain";"Petit Marché 3";"Petit Marché";"Niamey";"Jamais";0;"Jamais visité";"Non"
"tVkVU9ne";2020-08-01;2020-08-24;"Orange Shop Agent";"ONE";"Orange";2020-03-11;"Inactif âgé";166;2020-03-11;2020-03-10;"Inactif âgé";0;0;0;0;0;1970-01-01;2.32789;12.95285;"BOKKI";"Système";"BOKKI";"Rural";"Haro Banda 3";"Haro Banda";"Niamey";"Jamais";0;"Jamais visité";"Non"
"1irnYzPr";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-28;"Actif";3;2020-07-28;2020-06-25;"Actif";0;0;0;0;10.38;2020-07-17;7.99085833333333;13.7556716666667;"TESSAOUA_2";"Visites";"TESSAOUA";"Urbain";"Tessaoua";"Est";"Maradi";"Oui";8;"A maintenu son statut";"Non"
